Date,Settle Price,Spot Price,Model Price
2020-03-02,29121.3,28868.4,29172.546075140424
2020-03-03,29364.7,29177.05,29480.89624689157
2020-03-04,28914.35,28653.7,28948.608626921836
2020-03-05,29018.65,28815.35,29108.415586346255
2020-03-06,27976.2,27801.45,28080.8207771072
2020-03-09,26690.7,26462.6,26718.859120131296
2020-03-11,26691.55,26487.8,26737.86040041081
2020-03-12,23979.15,23971.15,24194.53696425735
2020-03-13,25347.8,25166.45,25397.916200544965
2020-03-16,23156.4,23101.15,23305.196852152192
2020-03-17,22163.5,22155.15,22348.148722098667
2020-03-18,20631.2,20580.2,20756.97831321984
2020-03-19,20015.65,20083.5,20253.571793196385
2020-03-20,20367.0,20317.6,20487.186060524906
2020-03-23,17012.45,16917.65,17052.693611472252
2020-03-24,17046.05,17107.3,17241.78031177974
2020-03-25,18479.2,18481.05,18624.085652881833
2020-03-26,19399.6,19613.9,19763.322500831804
2020-03-27,19837.15,19969.0,20118.703967217352
2020-03-30,18847.2,18782.4,18916.370700557814
2020-03-31,19211.45,19144.0,19278.227413363365
2020-04-01,18222.3,18208.35,18333.808416450112
2020-04-03,17222.85,17249.3,17363.96639047134
2020-04-07,19211.15,19062.5,19179.975489484408
2020-04-08,18931.45,18946.45,19060.913994511393
2020-04-09,19801.1,19913.6,20031.493733096842
2020-04-13,19539.05,19488.0,19593.930229094967
2020-04-15,19032.8,19057.05,19156.021896460523
2020-04-16,19449.2,19400.0,19498.403966026504
2020-04-17,20741.75,20681.45,20783.85006742752
2020-04-20,20490.8,20522.65,20616.81161492548
2020-04-21,19340.85,19409.35,19496.05485179815
2020-04-22,19692.15,19701.85,19787.47764813042
2020-04-23,20179.1,20267.95,20353.58596538411
2020-04-24,19524.75,19586.65,19667.038001582616
2020-04-27,20075.0,20081.15,20156.28181822884
2020-04-28,20645.35,20671.1,20745.939743954903
2020-04-29,21095.7,21090.2,21164.007411117513
2020-04-30,21431.3,21534.5,21607.259201839766
2020-05-04,19632.75,19743.75,19800.91514346783
2020-05-05,19246.35,19271.75,19325.22037512876
2020-05-06,19671.95,19694.55,19746.814501698573
2020-05-07,19505.3,19491.8,19541.172275356224
2020-05-08,19284.65,19352.9,19399.583324886567
2020-05-11,18914.4,18950.5,18989.348729543286
2020-05-12,18839.1,18862.85,18899.24220353327
2020-05-13,19617.0,19634.95,19670.462066948014
2020-05-14,19038.75,19068.5,19100.686465831484
2020-05-15,18807.7,18833.95,18863.468026973962
2020-05-18,17531.6,17573.2,17594.38238792527
2020-05-19,17438.75,17486.25,17505.218679315094
2020-05-20,17836.65,17840.2,17857.401306895954
2020-05-21,17644.85,17735.1,17750.06157305524
2020-05-22,17216.1,17278.9,17291.39357577916
2020-05-26,17445.15,17440.35,17444.552424912443
2020-05-27,18663.05,18710.55,18712.80411030645
2020-05-28,19169.8,19169.8,19169.8
